"class,comment"
"negatif,b'RT @alvinlie21: Sebaiknya TUTUP GERBANG INTERNASIONAL\n\nTerbukti selama ini kewajiban Karantina, SuKet Bebas COVID-19 TIDAK EFEKTIF cegah ma\xe2\x80\xa6'"
"netral,b'RT @sakhansaaa: Ceritanya vlog PPKM hari kedua diisi dengan masak kalkun. Hari ke 10 mungkinkah kita akan ngaduk dalgona lagi? \xf0\x9f\xa4\xa7 https://t.\xe2\x80\xa6'"
"negatif,b'RT @Hilmi28: Baru kemarin sy minta dihentikan mobilisasi massa dari luar negeri utk efektifitas PPKM, eh sekarang kejadian lagi...\xf0\x9f\x98\xb7\nhttps:/\xe2\x80\xa6'"
"positif,b'PPKM Darurat hari ke-3 (5 juli 2021)\npasar mbalong, pucakwangi, pati, jateng\n@ganjarpranowo @Satpol_PP_Pati @aik_arif https://t.co/HhZiNAtidW'"
"positif,b'@Arrof11 @yush_abubakar @dhepaimin @mrchristwibowo @Luthfi_nashrul @TheArieAir @NotesofMila Meluu ....\n\nAkun NKRI  \xf0\x9f\x93\xa2\nYuk mampir dimari  \xf0\x9f\x93\xa2\n\nReply : \nDukung PPKM darurat\n#programfolback\n#IndoPromoter\n\nFollow : @Arrof11\n\n https://t.co/tJFWl81ixP'"
"positif,b'Penerapan PPKM Mikro darurat sebagai langkah tepat\nPPKM Pulihkan Bangsa https://t.co/fm2Ctv69ZG'"
"negatif,b'RT @abu_waras: Jadi gini, melakukan PPKM darurat dengan membebaskan TKA masuk itu sama seperti memutus mata rantai Virus tapi dengan cara m\xe2\x80\xa6'"
"negatif,b'RT @UyokBack: Luhut izinkan WNA masuk RI selama PPKM Darurat asalkan bisa tunjukkan kartu vaksin.\nPakai logika Luhut, mestinya WNI yang sud\xe2\x80\xa6'"
"negatif,b'Inilah yang membuat kita tidak punya kata kata lagi sebagai rakyat untuk meminta tolong presiden menghentikan ini semuannya\xf0\x9f\x98\xadHanya doa yang bisa mengetuk hati presiden\n\n20 TKA China Masuk Sulsel Kala PPKM Darurat Jawa-Bali https://t.co/SY6gPBKlKo'"
"negatif,b'RT @takadaotake2: jawaban jokowi perihal yang trending hari ini\nPPKM ( Pak Presiden Kapan Mundur ) https://t.co/H5uYkp3qTD'"
"netral,b'Allah ampuni dosa dosa kita tapi kalian malah membuka mall dan menutup tempat ibadah, bagaimana cara kita membayar dosa yang lain\n\nPPKM'"
"netral,b'RT @Azmipro75: @HisyamMochtar Pembungkamannya sistematis. Jauh2 hari dah direncanakan dr mulai uuite, penangkapan HRS, rektor langsung dian\xe2\x80\xa6'"
"negatif,b'RT @maspiyuaja: HEBOH... Ramai-ramai Netizen Serukan PPKM = Pak Presiden Kapan Mundur https://t.co/RrUKVwgxEi https://t.co/fdf8WDxijI'"
"netral,b'RT @detikcom: #Foto Lengangnya Jalanan Ibu Kota di Akhir Pekan Saat PPKM Darurat https://t.co/t15ILERefs https://t.co/tp5V3JpldW'"
"negatif,b'RT @geloraco: 20 TKA China Masuk saat PPKM Darurat, Fadli Zon: Inkonsistensi Kebijakan\nhttps://t.co/NQRFFJYRZF'"
"netral,b'@vendivergent_ Jangan sampai ppkm baca iklan mak erot di lampu merah'"
"negatif,b'RT @zarazettirazr: Selama PPKM darurat, Yang disekat JALANAN LOKAL\nPadahal virus varian barunya katanya dari LUAR NEGRI masuknya\nBandara pi\xe2\x80\xa6'"
"positif,b'RT @infobatu: ppkm darurat kota batu sesuai dengan SE walikota batub https://t.co/5RLPx26tqg'"
"negatif,b'@FerdinandHaean3 ada yang bilang PPKM\n\nPak\nPresiden\nKapan\nMundur\n\xf0\x9f\x98\x82'"
"netral,b'RT @MCAOps: Persis meminta agar masjid tak ditutup selama Pelaksanaan Pembatasan Kegiatan Masyarakat (PPKM) Darurat berlangsung.\nhttps://t.\xe2\x80\xa6'"
"netral,b'RT @CNNIndonesia: DPR Minta Pemerintah Larang WNA Masuk Selama PPKM Darurat https://t.co/fZ1RcHd9Z5'"
"positif,b'RT @henry_ohello: Selamat ya @DKIJakarta PPKM Daruratnya sukses besar, tidak perlu pengawasan, masyarakatnya gak perlu taat, tidak perlu ap\xe2\x80\xa6'"
"netral,b'RT @geloraco: 20 TKA Asal China Tiba di Bandara Sultan Hasanuddin saat PPKM Darurat\nhttps://t.co/hl9zA7eLcw'"
"netral,b'PPKM bikin yg introvert makin introvert \xf0\x9f\x99\x83'"
"negatif,b'RT @JafarudinJapra: @RyanBayu__ @zenrs Lebih bangsat lagi yg tetep masukkin TKA saat rakyat sedang PPKM.'"
"netral,b'PPKM; Pada Pagi Kulihat kaMu \xe2\x94\x86\xe2\x9d\xa5'"
"negatif,b'RT @dimas_maulll: Pak presiden kapan mundur\nSetiap ada ppkm darurat pasti ada turis asing yang masuk Indonesia terus apa fungsi dari ppkm i\xe2\x80\xa6'"
"positif,b'RT @CommuterLine: Sesuai dengan aturan yang berlaku selama PPKM Darurat, KAI Commuter mengikuti pembatasan kuota pengguna di atas KRL sejum\xe2\x80\xa6'"
"netral,b'RT @henrysubiakto: Saat pandemi Covid lagi tinggi, kita semua sdg serius berupaya melawan serangan corona, msh ada yg sengaja nyebar kabar\xe2\x80\xa6'"
"negatif,b'RT @Markonah_003: Semangat PPKM opung dibatalkan oleh 20 TKA..'"
"negatif,b'RT @geloraco: Presidium KAMI Se-Jawa: PPKM Darurat adalah Kelicikan Pemerintahan Jokowi Bodohi Rakyat\nhttps://t.co/0NLW2bZXwn'"
"netral,b'RT @CNNIndonesia: 20 TKA China Masuk Sulsel Kala PPKM Darurat Jawa-Bali https://t.co/Kq8cWi5I4g'"
"negatif,b'masa masa bolak balik ambil data then ppkm \xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82'"
"negatif,b'RT @Bengkeltanah2: NEMU DI WAG \nLogatnya spt Bahasa Madura ...sulit sekali disuruh tertib dan taat PPKM https://t.co/qBptze16HL'"
"positif,b'PPKM dimana"". Berangkat kerja gak nih ?\xf0\x9f\x98\xaa'"
"positif,b'RT @CecengNadi: @abu_waras PPKM ketat. https://t.co/JQPAaPKgiB'"
"negatif,b'@galihsatr PPKM\nPekerja \nPekerja\nKembali\nMletre'"
"negatif,b'RT @___Mr_J03n4____: Untuk rakyat sendiri kegiatan di batasi karena Pandemi, kenapa TKA Aseng dibiarkan masuk?\n\nPak Presiden Kapan Mundur?\xe2\x80\xa6'"
"negatif,b'Senin pagi jalanan tetap ramai\nTidak ada sekat2an dijalanan yang gw lalui sampai kantor\nTrus dimana letak PPKM daruratnya?'"
"positif,b'RT @PTJASAMARGA: Berikut kami sampaikan informasi titik penyekatan di jalan tol Jasa Marga Group, dalam rangka mendukung PPKM Darurat. http\xe2\x80\xa6'"
"negatif,b'RT @masabieee: Pak Presiden Kapan Mundur? PPKM DARURAT HANYALAH UNTUK KAUM PRIBUMI YAK TIDAK UNTUK ASING WARGA CHINA \xf0\x9f\x98\xb7 https://t.co/HkGYXDr\xe2\x80\xa6'"
"netral,b'RT @BiLLRaY2019: GANJAR MAKAN NASI BEKAL DI PARKIRAN..!\n\nAksi Ganjar makan siang di parkiran pos PJR Gerbang Tol Pemalang membuat beberapa\xe2\x80\xa6'"
"negatif,b'RT @maspiyuaja: HEBOH... Ramai-ramai Netizen Serukan PPKM = Pak Presiden Kapan Mundur https://t.co/RrUKVwgxEi https://t.co/fdf8WDxijI'"
"negatif,b'RT @barongapt: Ppkm just teori Gimana ceritanya udh ppkm masih full begini? @CommuterLine @jalur5_ punten di up ke instansi berwenang. @sab\xe2\x80\xa6'"
"negatif,b'RT @danny_agger: Tolong kasih solusi @CommuterLine hari pertama PPKM namun kepadatan terjadi diluar stasiun bukannya percuma ya ? #PPKM #st\xe2\x80\xa6'"
"netral,b'@Nawalfzn PPKM (PuraPura Kuat Mas) \xf0\x9f\x98\xad'"
"positif,b'RT @detikcom: Mulai besok, warga yang keluar masuk DKI wajib mengantongi surat tanda registrasi pekerja (STRP) yang dikeluarkan Dinas Pelay\xe2\x80\xa6'"
"negatif,b'PPKM\n\nPepeujeuh\nPepeling\nKanggo\nManusia\nHayuu geura tarobat...\n\n#16BulanJokowiGagalAtasiCovid'"
"netral,b'info kalau mau ke surabaya dari gresik lewat osowilangon apakah ada pemeriksaan selama ppkm? @e100ss Terima kasih'"
"netral,b'@Yunardi99 Innalillahi wa innalillahi rojiun... Kita di ppkm...  sakit jiwa dia?? \n\nApapun alasannya ini org dah benar benar pekook https://t.co/VcQVkV06E9'"
"netral,b'RT @RamliRizal: PPKM artinya opo toh ?? \nMoso artinya ini toh \xf0\x9f\x98\x84 ? https://t.co/CRqLvBIICB'"
"positif,b'Masyarakat yang hendak berkunjung untuk patuh terhadap ketetapan pemerintah untuk mencegah penularan COVID-19. #kumparanNEWS https://t.co/3eKMGJEWys'"
"netral,b'Efek ppkm le golek sayur ro ngantok nak iki'"
"negatif,b'RT @zarazettirazr: Menteri kesehatannya udah ganti, tapi penanganan pandemi gag membaik malah jadi \xe2\x80\x9cdarurat\xe2\x80\x9d ppkm nya. Mungkin salah ganti,\xe2\x80\xa6'"
"positif,b'PT Jasamarga Semarang Batang Dukung Pemberlakuan PPKM Darurat di Wilayah Jawa Tengah https://t.co/m2TE2zniDO'"
"positif,b""Golkar Lumajang Istighosah Berdo'a Kelancaran PPKM Darurat - LumajangSatu https://t.co/dOB5ESzSGl"""
"negatif,b'RT @Hilmi28: Baru kemarin sy minta dihentikan mobilisasi massa dari luar negeri utk efektifitas PPKM, eh sekarang kejadian lagi...\xf0\x9f\x98\xb7\nhttps:/\xe2\x80\xa6'"
"positif,b'RT @DKIJakarta: Pemprov DKI Jakarta memberlakukan Surat\xc2\xa0 Tanda Registrasi Pekerja (STRP) selama PPKM Darurat, 3-20 Juli 2021. \n\nSimak poin-\xe2\x80\xa6'"
"positif,b'RT @aimrod: Wa doain temen-temen wartawan yang turun ke lapangan mantau kondisi rumah sakit atau turun ke lapangan ngecekin kondisi PPKM ag\xe2\x80\xa6'"
"positif,b'RT @halimiskandarnu: Hari ini, memasuki hari kedua PPKM Darurat, saya himbau warga desa tetap dirumah, mohon ditahan dulu segala bentuk akt\xe2\x80\xa6'"
"netral,b'@convomf lha ini udah juli\njawa bali ppkm gabisa nder jdinya'"
"negatif,b'@BossTemlen PPKM aja pak jokowi\n#16BulanJokowiGagalAtasiCovid'"
"netral,b'RT @browreza_: Aku suka ppkm tanpa pp'"
"positif,b'RT @nadhputrii: HAL YANG BISA KALIAN LAKUIN SELAMA PPKM \xe2\x9c\xa8\n\n\xe2\x9c\xa7*\xe3\x80\x82CICIL MATERI SEKOLAH/KULIAH\ngak salah lho buat nyicil materi dari sekarang. a\xe2\x80\xa6'"
"negatif,b'Masa pandemi ppkm lg, rakyat ditekan tka china masuk... kami yg mau balik lg kerja ke jepang ga bisa bisa, kenapa tka china bisa masuk indo dg mudah pak @jokowi keadilan seperti apa yang engkau tegakkan? Yg kaya ga kerja masih bayaran, gimana kami rakyat miskin ga kerja ga bs mkn'"
"netral,b'RT @dindaarlynie_: PPKM = Pernah Peduli Kemudian Menjauh...'"
"positif,b'Mari dukung PPKM darurat untuk menekan penyebaran Covid-19\nPPKM Pulihkan Bangsa https://t.co/i6bzUvnSMd'"
"negatif,b'@msaid_didu @aniesbaswedan Akronim PPKM Kita rubah saja kepanjangannya menjadi *PlangaPlongoKayakMonyet* Yo Wis *PakPresidenKapanMundur"" ??? https://t.co/umJbs59542'"
"negatif,b'RT @yaelahcan: PPKM : Pemuda Pemudi Kurang Money.'"
"netral,b'semenjak ada Sicepat, JNT jadi lama ya? apa karena efek PPKM atau apa ya...'"
"negatif,b'RT @SilumanRi: Sebelum luhut membolehkan TKA tetap masuk di saat PPKM.kami sudah menuliskan hal tersebut beberapa minggu sebelum nya.dan ba\xe2\x80\xa6'"
"negatif,b'@tquickla udah gue bilang kalo wawancara sama staff pengawas pkh talunya aja gimana soalnya lg ppkm jg pak bingung. Cuma gue aneh banget enteng bgt nyuruh gue wawancara sana sini disangka ga butuh surat pengatar kali ya'"
"positif,b'RT @Warior4ngel: Razia di mesjid Sunan Ampel\nDalam rangka menertibkan tmpt ibadah karena sedang berlaku PPKM darurat..\n\nIndo rasa Palestine\xe2\x80\xa6'"
"netral,b'RT @Minang_cyber: Apakah video ini yg di sebut @dirjenImigrasi HOAX...???jika video ini yg di sebut hoax bearti @dirjenImigrasi lah yg terl\xe2\x80\xa6'"
"netral,b'-ness yg kkn gimana kabarnya gais lgi PPKM ginii?'"
"positif,b'Kapolda Bali Ancam Pidanakan Pelanggar PPKM Darurat https://t.co/U08NWJbdzC #KapoldaBali #berita #nusabali #PPKMDarurat #Pandemi #COVID19'"
"positif,b'Berlaku Besok, Ini Aturan Perjalanan Darat Kemenhub saat PPKM Darurat\nKlik untuk baca: https://t.co/anSCkkTRNR'"
"positif,b'RT @detikcom: Satgas COVID-19 Kabupaten Bantul, Daerah Istimewa Yogyakarta (DIY), membubarkan tiga acara hajatan dan satu lomba burung kare\xe2\x80\xa6'"
"positif,b'RT @kec_batununggal: Camat Batununggal Memimpin Apel Persiapan Monitoring dan Evalusai PPKM Darurat di wilayah Kecamatan Batununggal bersam\xe2\x80\xa6'"
"positif,b'Pemimpin harus paham aturan \n\nPPKM Pulihkan Bangsa https://t.co/CVcCqUJvg8'"
"positif,b'RT @McDaniels_AMS: Karena PPKM hanya di wilayah Jawa dan Bali..\n\nItulah mengapa..'"
"negatif,b'@CNNIndonesia Pak @jokowi  wargamu di PPKM.\nWNA ,Penak-Penak Keluar Masuk.\nIni negeri kagungane sinten pak?\nWargamu akeh sing kangelan kerjoe akeh sing nganggur goro2 covid, di tambah ppkm mu dll. E..malah WNA enaake poll isok karepe dewe.'"
"netral,b'work! kalian yg kerja di bank br* bn* selama ppkm gini WFH atau dikurangin jam kerjanya?'"
"positif,b'RT @PutraWadapi: 60 WNA Abai PPKM Darurat Diamankan, Mayoritas Tak Punya Izin https://t.co/UFEHubrRJO'"
"positif,b'Selama penerapan kebijakan PPKM Darurat, Perpustakaan UGM memberikan pelayanan secara daring bagi para pengguna. Yuk cari tahu lebih lanjut tentang layanan yang diberikan serta prosedurnya, di UGM Update edisi Selasa ini \xf0\x9f\x98\x83 https://t.co/diXBr85eGj'"
"netral,b'Kemarin PSBB sekarang PPKM mungkin besuk PJOK bahkan PAI.'"
"netral,b'RT @TTSLongtong: PPKM : Putuskan Pacarmu Kembalailah Mencintaiku'"
"negatif,b'Geramnya Kapolda saat PPKM Darurat tapi Objek Wisata Bali Masih Buka- Opsi\xc2\xa0Flash https://t.co/YT0bmwL1us'"
"negatif,b'RT @myputun: WNA Boleh Masuk Saat PPKM Darurat, Ubedilah Badrun: Ini Bukti Kebijakan Jokowi Ngaco! https://t.co/MTZgLqYaoQ'"
"positif,b'RT @AzzamIzzulhaq: Saya belum melihat, mendengar atau pun membaca pelanggar protokol kesehatan ataupun aturan PPKM di level menengah ke ata\xe2\x80\xa6'"
"positif,b'RT @husenattos: Kalo pake uu karantina negara wajib memberikan kebutuhan dasar setiap orang tanpa terkecuali, dan warung ga boleh buka,\nPer\xe2\x80\xa6'"
"netral,b'RT @Dennysiregar7: Itu video WNA dari China yang masuk Sulawesi di bandara, selalu diulang2 dgn berbagai tema..\n\nAda tema, ""TKA China menye\xe2\x80\xa6'"
"netral,b'Ppkm, pelan pelan ku menyukaimu.'"
"negatif,b'RT @HukumDan: Kalau mau menerapkan PPKM Darurat itu bukan pake Tank, juga bukan main angkut dagangan orang tapi pake uang Pengganti sbg Imp\xe2\x80\xa6'"
"negatif,b'@bertanyarl g krasa ppkm ny'"
"netral,b'RT @nominjaksel: PPKM ala nomin\n\nt. nomin jenjaem onetweet au https://t.co/wELSQgcNn2'"
"negatif,b'RT @UmarChelsea75: Hebat banget. Disaat PPKM darurat kemasjidpun dilarang. Ngenees banget baca berita ini TKA China masuk tanpa ijin bekerj\xe2\x80\xa6'"
"negatif,b'RT @Gojekmilitan: Nunggu Aksi heroik semua anggota DPR menyatakan Bulan ini Gajinya akan disumbang untuk membantu masyarakat yang kesulitan\xe2\x80\xa6'"
"positif,b'@mocappuccinoooo @Inna_Melonia @dewindez Lagi tutup ppkm'"
"netral,b'saya suka ppkm without pp \n- gombalan jerome \xf0\x9f\x98\xad\xe2\x9c\x8b'"
"negatif,b'RT @maspiyuaja: Pak Presiden... Kami Inginnya Di Rumah, Tapi Perut Kami Menuntut Untuk Keluar Rumah Mencari Nafkah\n\nTuan Presiden tdk mau t\xe2\x80\xa6'"
"positif,b'Ketua MUI Tabanan Ustad Askur Susanto,M.Pd.I. mendukung atas pemberlakuan PPKM Darurat oleh pemerintah dalam rangka menakan penyebaran Covid-19. #ppkmdarurat #TaatPPKMDarurat #bersamalawancorona #polrestabanan https://t.co/W9yoyeQDrQne'"
"netral,b'@IchanNdut PPKM\n\nPULANGKAN PHILLIP KE MERSEYSIDE\n\n#COUTINHO #LFC'"
"positif,b'RT @CIN_________TA: @cakimiNOW PPKM https://t.co/DTXO5W9z9f'"
"positif,b'Yaitu Nomor 188/379/KPTS/013/2021 per tanggal 2 Juli 2021 tentang pelaksanaan PPKM Darurat di Jawa Timur.'"
"positif,b'RT @Urrangawak: Pelaksanaan PPKM Darurat seluruh sektor industri logistik tetap berjalan seperti, supermarket, pasar tradisional, toko kelo\xe2\x80\xa6'"
"netral,b'RT @aldapstsr: Ppkm, pengen peluk kamu muach'"
"negatif,b'RT @alexander_murfi: PPKM Darurat Sampai Tanggal 20, KH Sofwan Nizhomi: Untuk Halangi Supaya Tidak Idul Adha?\n\nRezim tengah mengebiri Islam\xe2\x80\xa6'"
"negatif,b'RT @M45BRO____: Saatnya Jokowi Kibarkan Bendera Putih\n\nPPKM \xf0\x9f\x91\x89 Pak Presiden Kapan Mundur\xe2\x9d\x93\n\n#WhyBPOM #WhyBPOM \n\nVia @korantempo https://t.co/\xe2\x80\xa6'"
